Pestador ;Sede;Dirección;Teléfono;Email;Grupo de Servicio ;BÁSICO;MEDICALIZADO;URGENCIAS
AMBUSALUD RCP SAS;AMBUSALUD RCP;AK 72 N 74 A 46;(+57) 3138432498- 3208906255 (031)7045807;ambusaludrcp@gmail.com;Atención Inmediata;X;;
AMBU-SANAR S.A.S SIGLA AMBUSAS;AMBU-SANAR S.A.S SIGLA AMBUSAS;CRA 69 K # 79 - 67 Piso 1;3212180015;ambusanar2021@gmail.com;Atención Inmediata;X;X;
AMBU-SANAR S.A.S SIGLA AMBUSAS;AMBU-SANAR S.A.S SIGLA AMBUSAS;CRA 69 K # 79 - 67 Piso 1;3212180015;ambusanar2021@gmail.com;Atención Inmediata;X;X;
AMBUSURE IPS S.A.S.;AMBUSURE IPS;TR 77 C 47-16 P1;3214882104;ambusureips@gmail.com;Atención Inmediata;X;;
APPSEMI S.A.S;APPSEMI S.A.S;CL 79B # 29B - 44 Piso 1;3237385185;appsemiambulancias@gmail.com;Atención Inmediata;X;X;
APPSEMI S.A.S;APPSEMI S.A.S;CL 79B # 29B - 44 Piso 1;3237385185;appsemiambulancias@gmail.com;Atención Inmediata;X;X;
ASISTENCIA MEDICA EN LINEA SAS;ASISTENCIA MEDICA EN LINEA SAS;CRA 14 N° 24 17 SUR PISO 1;2782446;asismed.enlinea@gmail.com;Atención Inmediata;X;X;
ASISTENCIA MEDICA EN LINEA SAS;ASISTENCIA MEDICA EN LINEA SAS;CRA 14 N° 24 17 SUR PISO 1;2782446;asismed.enlinea@gmail.com;Atención Inmediata;X;X;
ASISTENCIA MEDICA ESPECIAL EN SALUD IPS SAS SIGLA AMESALUD IPS SAS;ASISTENCIA MEDICA ESPECIAL EN SALUD IPS SAS SIGLA AMESALUD IPS SAS;CALLE 42 SUR 78M 35, PRIMER PISO;3045779362;ipsservices2024@gmail.com;Atención Inmediata;X;;
ASMED SALUD SAS;ASMED SALUD SAS;Calle 5 Sur No 71d-14;3164541759 - 3173816515;asmedsaludsas@gmail.com;Atención Inmediata;;X;
ASOCIACION DE AMIGOS CONTRA EL CANCER PROSEGUIR;PROSEGUIR SEDE 3;CARRERA 16 No 59-04 / 54;5557080 EXT 1026;calidad@proseguir.org;Atención Inmediata;X;;
AYP AMBULANCIAS SAS;AYP AMBULANCIAS SAS;CARRERA 19 # 56-31 SUR PISO 1;3103020981;aypambulancias.sas@gmail.com;Atención Inmediata;X;;
AYUDA MEDICA DOMICILIARIA Y EMPRESARIAL SOLUCIONES EN SALUD OCUPACIONAL S A S;AYUDA MEDICA DOMICILIARIA Y EMPRESARIAL SOLUCIONES EN SALUD OCUPACIONAL S A S;Carrera 69F # 64F-43 Piso 1;601 3907495 3176681051;habilitacion@ayudamedica.com.co gerencia@ayudamedica.com.co;Atención Inmediata;X;;
AYUDA MEDICA TERRITORIAL EN AMBULANCIAS AYMEDT AMBULANCIAS LTDA;AYUDA MEDICA TERRITORIAL EN AMBULANCIAS AYMEDT AMBULANCIAS LTDA;KR 20 # 20 41 SUR PISO 1;3132072421;aymedtambulancias@hotmail.com;Atención Inmediata;X;X;
AYUDA MEDICA TERRITORIAL EN AMBULANCIAS AYMEDT AMBULANCIAS LTDA;AYUDA MEDICA TERRITORIAL EN AMBULANCIAS AYMEDT AMBULANCIAS LTDA;KR 20 # 20 41 SUR PISO 1;3132072421;aymedtambulancias@hotmail.com;Atención Inmediata;X;X;
Blue health colombia sas;Blue health colombia sas;CALLE 94A No 58 - 40 BG P 1;3164339311;bluehealthsas@gmail.com;Atención Inmediata;X;X;
Blue health colombia sas;Blue health colombia sas;CALLE 94A No 58 - 40 BG P 1;3164339311;bluehealthsas@gmail.com;Atención Inmediata;X;X;
BLUE MEDICALL AMBULANCE SAS;BLUE MEDICALL AMBULANCE SAS;CARRERA 30 No 1-07 PISO 1;3103194526;blueemedicall2022@gmail.com;Atención Inmediata;X;;
CAJA COLOMBIANA DE SUBSIDIO FAMILIAR COLSUBSIDIO;CLINICA INFANTIL COLSUBSIDIO;CALLE 66 # 10 - 48;7467310 extensión 75210;calidad.colsubsidio@colsubsidio.com;Atención Inmediata;;;X
CAJA COLOMBIANA DE SUBSIDIO FAMILIAR COLSUBSIDIO;CENTRO MEDICO COLSUBSIDIO QUIROGA;CL 38 SUR # 18 30;7607461 Ext. 101;calidad.colsubsidio@colsubsidio.com;Atención Inmediata;;;X
CAJA DE COMPENSACIÓN FAMILIAR CAFAM;Centro de Atención en Salud Cafam Floresta;AK 68 No.90-88;5550700 ext 12017-12015;calidadsalud@cafam.com.co;Atención Inmediata;;;X
CAJA DE COMPENSACIÓN FAMILIAR CAFAM;Centro de Atención en Salud Cafam Suba;KR 113 C # 142 A 98;5550700 ext 12017-12015;calidadsalud@cafam.com.co;Atención Inmediata;;;X
CDF SERVICIO OPORTUNO DE TRANSPORTE EN AMBULANCIA SAS;CDF SERVICIO OPORTUNO DE TRANSPORTE EN AMBULANCIA SAS;CARRERA 79 B SUR 41 F 57 PISO 1;3103287816;SERVICIOOPORTUNODEEMERGENCIA@GMAIL.COM;Atención Inmediata;X;;
CENTRO INTEGRAL DE INNOVACIÓN Y TECNOLOGÍA CLÍNICA ONKOS S.A.S;CENTRO INTEGRAL DE INNOVACIÓN Y TECNOLOGÍA CLÍNICA ONKOS S.A.S;Diagonal 33 Bis A # 14 37;3208400 ext 290 - 3203037398;dianaespinosanarvaez@gmail.com;Atención Inmediata;X;;
CENTROS MEDICOS COLSANITAS S.A.S;CENTRAL DE URGENCIAS NORTE;Calle 163 A 22 22;6466060 Ext 5719469;mnempeque@epssanitas.com;Atención Inmediata;;;X
CENTROS MEDICOS COLSANITAS S.A.S;UNIDAD DE URGENCIAS PUENTE ARANDA;Carrera 62 14 41;6466060;mnempeque@epssanitas.com;Atención Inmediata;;;X
CLÍNICA COLSANITAS S.A.;CLINICA REINA SOFIA;Cra 21 127 03 / Ac 127 21 60 Cn 106 Al 111, 202, 203, 211, 214, 225, 316, 322, 324, 410 A Y B, 424;6466060 ext 5717528;calidadclinica@colsanitas.com;Atención Inmediata;;;X
CLÍNICA COLSANITAS S.A.;CLINICA UNIVERSITARIA COLOMBIA;Cl236646Int5Int4Cs201Al209,3P501,503,505Al507,509,703,704,706,708,710,714Al717,719Al723,725Al727,803,811,813,814,816A818,822A825,903,907,911,915,919A921,927,1004,1009,1013,1015Al1019,1103,1119,1121,1122,1203,1206,1209,1210,1214A12161218A1220122212251226;5948650;calidadclinica@colsanitas.com;Atención Inmediata;;;X
CLÍNICA COLSANITAS S.A.;CLINICA REINA SOFIA PEDIATRICA Y MUJER;Ac 127 No 20 - 56;6466060;calidadclinica@colsanitas.com;Atención Inmediata;;;X
CLÍNICA COLSANITAS S.A.;CENTRO MEDICO COLSANITAS EL DORADO;AVENIDA CALLE 26 # 113 - 90;6466060;calidadclinica@colsanitas.com;Atención Inmediata;X;;
CLÍNICA COLSANITAS S.A.;CLÍNICA INFANTIL SANTA MARÍA DEL LAGO;CL 73 A NO. 76 66;3406767;calidadclinica@colsanitas.com;Atención Inmediata;;;X
CLINICA DE LA MUJER S.A.S.;CLINICA DE LA MUJER;KR 19 C # 91 17;6161799- 3506005706;Elizabeth.Parada@QuironSalud.com;Atención Inmediata;;;X
CLINICA DE MARLY S.A;CLINICA DE MARLY;CL 50 # 9 67;3436600;cmarly@clinicademarly.com.co;Atención Inmediata;;;X
CLINICA DE MARLY S.A;CLINICA DE MARLY;CL 50 # 9 67;3436600;cmarly@clinicademarly.com.co;Atención Inmediata;;;X
CLÍNICA DE NUESTRA SEÑORA DE LA PAZ;CLINICA DE NUESTRA SEÑORA DE LA PAZ;CARRERA 69 # 12 - 75;2921277;gestorcalidad@cllapaz.com.co;Atención Inmediata;;;X
CLINICA DEL OCCIDENTE S.A.;CLINICA DEL OCCIDENTE S.A.;AV DE LAS AMERICAS # 71 C 29;4254620 Ext 150;calidad@clinicadeloccidente.com;Atención Inmediata;;;X
CLINICA DEL TRABAJADOR SAS;CLININORTE 161;Ac 161 16 C 39/51;3188604159;gerencia@clinicadeltrabajador.com;Atención Inmediata;;;X
CLINICA JUAN N CORPAS LTDA;CLINICA JUAN N CORPAS LTDA;KR 111 # 159 A 61;6865000 Ext.1060 - 3233103491;dir_calidad@clinicajuanncorpas.com;Atención Inmediata;;;X
CLINICA LOS NOGALES SAS;CLINICA LOS NOGALES SAS;Calle 95 N° 23-61;5937000 Ext: 2045 / 2036 Cel: 3014199316;notificacioneslegales@clinicanogales.com;Atención Inmediata;;;X
CLINICA MEDICAL SAS;CLINICA MEDICAL S.A.S.;Calle 36 Sur No 77 - 33;4505200 3168757999;coor.calidad@clinicamedical.com.co;Atención Inmediata;;;X
CLINICA NUEVA EL LAGO S.A.S.;CLINICA NUEVA EL LAGO S.A.S - SEDE CALLE 76;Calle 76 No. 15-55 Sótano 1 (S1-1 S1-2 S1-6 S1-7 S1-8 S1-9 S1-10 S1-11) Pisos 1-2-3-4-5-6-7-8-9;3078061 - 3123459128;info@clinicanuevaellago.com;Atención Inmediata;;;X
CLINICA NUEVA EL LAGO S.A.S.;CLINICA NUEVA EL LAGO S.A.S - SEDE CALLE 76;Calle 76 No. 15-55 Sótano 1 (S1-1 S1-2 S1-6 S1-7 S1-8 S1-9 S1-10 S1-11) Pisos 1-2-3-4-5-6-7-8-9;3078061 - 3123459128;info@clinicanuevaellago.com;Atención Inmediata;;;X
Clínica Santa Mónica de Bogotá SAS;CLÍNICA AZUL;KR 49 D # 91 33, piso 1,3,4,5,6,7,y 2 ala Norte;3184871071;calidadca@clinicaazul.co;Atención Inmediata;;;X
COLCHARTER IPS SAS;COLCHARTER IPS SAS;Autopista Norte Km 16, Via Guaymaral Lote 9 , Manzana A / Aeropuerto Guaymaral;3176409979;direccionmedica@colcharter.com contabilidad@colcharter.com;Atención Inmediata;;X;
COMUNIDAD HERMANAS HOSPITALARIAS DEL SAGRADO CORAZON DE JESUS;CLINICA LA INMACULADA;CRA 7 # 68 70;5870366;inmaculada@clinicalainmaculada.org;Atención Inmediata;;;X
CONCESION PARQUE SALITRE MAGICO SAS siglas SAMA PARK SAS;CONCESION PARQUE SALITRE MAGICO SAS siglas SAMA PAK SAS;AC 63 # 60-80;6605000 -3122320086;contacto@salitremagico.com.co/sermedico@salitremagico.com.co;Atención Inmediata;X;;
CONGREGACION DE DOMINICAS DE SANTA CATALINA DE SENA;CLINICA NUEVA;CL 45 F # 16 A 11;3274444 ext 515-530;calidad@clinicanueva.com;Atención Inmediata;;;X
CONGREGACION DE LAS HERMANAS DE LA CARIDAD DOMINICAS DE LA PRESENTACION DE LA SANTISIMA VIRGEN;CLINICA PALERMO;Calle 45 C No. 22-02;7454500;GestiondeCalidad@clinicapalermo.com.co;Atención Inmediata;;;X
Coomeva Medicina Prepagada S.A;CENTRO MEDICO COOMEVA MEDICINA PREPAGADA;Cl 102 # 14A - 70 P1 - P2 - P3 y P4;3175872790;nelson_infante@coomeva.com.co dianap_ospina@coomeva.com.co lauran_medina@coomeva.com.co;Atención Inmediata;X;;
Coomeva Medicina Prepagada S.A;CENTRO MEDICO COOMEVA MEDICINA PREPAGADA;Cl 102 # 14A - 70 P1 - P2 - P3 y P4;3175872790;nelson_infante@coomeva.com.co dianap_ospina@coomeva.com.co lauran_medina@coomeva.com.co;Atención Inmediata;X;;
CORPORACIÓN HOSPITALARIA JUAN CIUDAD;HOSPITAL UNIVERSITARIO MAYOR-MEDERI;CL 24 # 29 45;7055999 Ext 4140;ana.ulloa@mederi.com.co;Atención Inmediata;;;X
CORPORACIÓN HOSPITALARIA JUAN CIUDAD;HOSPITAL UNIVERSITARIO BARRIOS UNIDOS-MEDERI;CL 66 A # 52 25;4855970 ext 6214;ana.ulloa@mederi.com.co;Atención Inmediata;;;X
CPO S A;CENTRO POLICLINICO DEL OLAYA;KR 20 23 23 SUR;3612888;zayda.rodriguez@cpolaya.com.co;Atención Inmediata;;;X
CRUZ ROJA COLOMBIANA SECCIONAL CUNDINAMARCA Y BOGOTA;CRUZ ROJA COLOMBIANA SECCIONAL CUNDINAMARCA Y BOGOTA;AK 68 No 68 B 31;7460909;dsalud@cruzrojabogota.org.co;Atención Inmediata;;;X
CRUZ ROJA COLOMBIANA SECCIONAL CUNDINAMARCA Y BOGOTA;CRUZ ROJA COLOMBIANA SECCIONAL CUNDINAMARCA Y BOGOTA SEDE NORTE;AC 134 NO. 7 B-41 PUERTA 2 Piso 1 y Piso 2, Excepto el Laboratorio Clínico y Toma de Muestras del Piso 1;7460909;dsalud@cruzrojabogota.org.co;Atención Inmediata;;;X
CRUZ ROJA COLOMBIANA SECCIONAL CUNDINAMARCA Y BOGOTA;CRUZ ROJA COLOMBIANA SECCIONAL CUNDINAMARCA Y BOGOTA SEDE ALQUERIA;Av. CRA. 68 No. 31 - 41 SUR;7460909;dsalud@cruzrojabogota.org.co;Atención Inmediata;;;X
CRUZ ROJA COLOMBIANA SECCIONAL CUNDINAMARCA Y BOGOTA;CRUZ ROJA COLOMBIANA SECCIONAL CUNDINAMARCA Y BOGOTA SEDE CALLE 73;KR 23 # 73 19 TO A PI 1-2-3;7460909 EXT 102 103;dsalud@cruzrojabogota.org.co;Atención Inmediata;;;X
CRUZ ROJA COLOMBIANA SECCIONAL CUNDINAMARCA Y BOGOTA;CRUZ ROJA COLOMBIANA SECCIONAL CUNDINAMARCA Y BOGOTA SEDE CALLE 73;KR 23 # 73 19 TO A PI 1-2-3;7460909 EXT 102 103;dsalud@cruzrojabogota.org.co;Atención Inmediata;;;X
CUIDARTE TU SALUD S.A.S.;CUIDARTE TU SALUD S.A.S;AVENIDA CALLE 63 # 69F-26;3152582777;notificacionescuidarte@cuidartetusalud.com;Atención Inmediata;X;;
CUIDARTE TU SALUD S.A.S.;CUIDARTE TU SALUD S.A.S;AVENIDA CALLE 63 # 69F-26;3152582777;notificacionescuidarte@cuidartetusalud.com;Atención Inmediata;X;;
DDC IPS S.A.S;DDC IPS S.A.S.;CALLE 75 N° 69K 64;3922912/3134139473;ddcipssas@hotmail.com;Atención Inmediata;X;;
DDC IPS S.A.S;DDC IPS S.A.S.;CALLE 75 N° 69K 64;3922912/3134139473;ddcipssas@hotmail.com;Atención Inmediata;X;;
Delta Force Medics S.A.S;DELTA FORCE MEDIC'S S.A.S;carrera 72 J # 36-13 sur PISO 1;3214654138;deltaforcemedic905@gmail.com;Atención Inmediata;X;;
EMERGENCY MANAGEMENT TRAINING SAS;EMERGENCY MANAGEMENT TRAINING SAS;CARRERA 79 D # 40 A - 35 SUR PISO 1;3134283390;vitalisventurasas@gmail.com;Atención Inmediata;X;;
EMERMEDICA S.A. SERVICIOS DE AMBULANCIA PREPAGADOS;EMERMEDICA S.A. BOGOTÀ;KRA. 19 B No. 168 -35;3077098;notificaciones@emermedica.com.co;Atención Inmediata;X;;
EMERMEDICA S.A. SERVICIOS DE AMBULANCIA PREPAGADOS;EMERMEDICA S.A. BOGOTÀ;KRA. 19 B No. 168 -35;3077098;notificaciones@emermedica.com.co;Atención Inmediata;X;;
EMERMEDICA S.A. SERVICIOS DE AMBULANCIA PREPAGADOS;EMERMEDICA VILLA ALSACIA;calle 12b No 71d-61 LC ST;5190219;notificaciones@emermedica.com.co;Atención Inmediata;X;;
EMERMEDICA S.A. SERVICIOS DE AMBULANCIA PREPAGADOS;EMERMEDICA VILLA ALSACIA;calle 12b No 71d-61 LC ST;5190219;notificaciones@emermedica.com.co;Atención Inmediata;X;;
EMPRESA DE MEDICINA INTEGRAL EMI S.A.S. SERVICIO DE AMBULANCIA PREPAGADA;EMPRESA DE MEDICINA INTEGRAL EMI SAS SERVICIO DE AMBULANCIA PREPAGADA- GRUPO EMI S.A.S;KR 68 D # 18 30;6013077364 - 3133834358;juan.alfonso@grupoemi.com;Atención Inmediata;X;;
EMPRESA DE MEDICINA INTEGRAL EMI S.A.S. SERVICIO DE AMBULANCIA PREPAGADA;EMPRESA DE MEDICINA INTEGRAL EMI SAS SERVICIO DE AMBULANCIA PREPAGADA- GRUPO EMI S.A.S;KR 68 D # 18 30;6013077364 - 3133834358;juan.alfonso@grupoemi.com;Atención Inmediata;X;;
EMPRESA SOCIAL DEL ESTADO HOSPITAL UNIVERSITARIO DE LA SAMARITANA;EMPRESA SOCIAL DEL ESTADO HOSPITAL UNIVERSITARIO DE LA SAMARITANA;CRA 8 # 0 29 SUR;4077075 ext 10702;gerencia@hus.org.co;Atención Inmediata;;X;X
EMPRESA SOCIAL DEL ESTADO HOSPITAL UNIVERSITARIO DE LA SAMARITANA;EMPRESA SOCIAL DEL ESTADO HOSPITAL UNIVERSITARIO DE LA SAMARITANA;CRA 8 # 0 29 SUR;4077075 ext 10702;gerencia@hus.org.co;Atención Inmediata;;X;X
ERMEDICALLS S.A.S;ERMEDICALLS S.A.S;CALLE 87 BIS # 85 - 39;4580666 - 4580667;ermedicalls@gmail.com;Atención Inmediata;X;X;
ERMEDICALLS S.A.S;ERMEDICALLS S.A.S;CALLE 87 BIS # 85 - 39;4580666 - 4580667;ermedicalls@gmail.com;Atención Inmediata;X;X;
FASTMED SALUD SAS SIGLA FASTMED;FASTMED SALUD SAS SIGLA FASTMED;CRA 68 N Nº 36 84 SUR;3102641483;fastmedsaludsas@gmail.com;Atención Inmediata;X;;
FUNDACION ABOOD SHAIO;FUNDACION ABOOD SHAIO;DIAG 115 A # 70 C 75;2261025;direcciongeneral@shaio.org;Atención Inmediata;;;X
FUNDACION CARDIO INFANTIL INSTITUTO DE CARDIOLOGIA;FUNDACION CARDIO INFANTIL INSTITUTO DE CARDIOLOGIA;CL 163 A # 13 B 60;6672727 Ext. 53304 Cel. 3183569506;pcasallas@lacardio.org;Atención Inmediata;;;X
FUNDACION HOSPITAL DE LA MISERICORDIA;FUNDACION HOSPITAL DE LA MISERICORDIA;Avenida Carrera 14 No 1-65;3811970 EXT 227;lidercalidad@homifundacion.org.co;Atención Inmediata;X;;X
FUNDACION HOSPITAL DE LA MISERICORDIA;FUNDACION HOSPITAL DE LA MISERICORDIA;Avenida Carrera 14 No 1-65;3811970 EXT 227;lidercalidad@homifundacion.org.co;Atención Inmediata;X;;X
FUNDACION HOSPITAL INFANTIL UNIVERSITARIO DE SAN JOSE;FUNDACION HOSPITAL INFANTIL UNIVERSITARIO DE SAN JOSE;KR 52 # 67 A 71;4377540;direccion.general@hospitalinfantildesanjose.org.co;Atención Inmediata;;;X
FUNDACION SANTA FE DE BOGOTA;FUNDACION SANTA FE DE BOGOTA;CL 119 # 7 75;6030303 ext. 5105;adriana.urrego@fsfb.org.co;Atención Inmediata;X;;X
FUNDACION SANTA FE DE BOGOTA;FUNDACION SANTA FE DE BOGOTA;CL 119 # 7 75;6030303 ext. 5105;adriana.urrego@fsfb.org.co;Atención Inmediata;X;;X
GLOBAL LIFE AMBULANCIAS SAS;GLOBAL LIFE AMBULANCIAS SAS;CALLE 163 # 16 C 62;3102842445;calidad@glambulancias.com;Atención Inmediata;X;X;
GLOBAL LIFE AMBULANCIAS SAS;GLOBAL LIFE AMBULANCIAS SAS;CALLE 163 # 16 C 62;3102842445;calidad@glambulancias.com;Atención Inmediata;X;X;
Grupo AValer. S.A.S;GRUPO AVALER. S.A.S SIGLA AVALER.;Calle 102 N 70-41 Bodega Piso1;3173794230;avaler.medical@gmail.com;Atención Inmediata;X;;
Grupo AValer. S.A.S;GRUPO AVALER. S.A.S SIGLA AVALER.;Calle 102 N 70-41 Bodega Piso1;3173794230;avaler.medical@gmail.com;Atención Inmediata;X;;
GRUPO EMPRESARIAL JARBSALUD IPS S.A.S.;GRUPO EMPRESARIAL JARBSALUD IPS S.A.S.;Calle 33 bis No. 15 - 64;4673216 - 7561334;jarbsalud.gerencia@gmail.com;Atención Inmediata;;;X
H&R AMBULANCIAS IPS SAS H&R AMBULANCIAS;H&R AMBULANCIAS IPS S.A.S H&R AMBULANCIAS;CALLE 5 78 B-60;3477671;referencia.hyrambulancias@gmail.com;Atención Inmediata;X;;
HEALTH & LIFE IPS SAS SIGLA H&L UCC SAS;HEALTH & LIFE IPS SAS SEDE MONTEVIDEO;Av Carrera 68 # 13 - 73;3009121102 EXT 9003;mariana.rodriguez@hlips.com.co;Atención Inmediata;X;;
HEALTH & LIFE IPS SAS SIGLA H&L UCC SAS;HEALTH & LIFE IPS SAS SEDE MONTEVIDEO;Av Carrera 68 # 13 - 73;3009121102 EXT 9003;mariana.rodriguez@hlips.com.co;Atención Inmediata;X;;
HEALTH DELIVER SOLUTIONS SAS;HEALTH DELIVER SOLUTIONS SAS;KR 93 # 132 - 74;3142069001;724hds@gmail.com;Atención Inmediata;;X;
Helistar SAS;Helistar SAS IPS;AER El Dorado En 1 In 8 OF M-103;3143574028 / 3124506370;directormedico@helistaraviacion.com;Atención Inmediata;;X;
HELP AND LIFE MEDICAL SAS;HELP AND LIFE MEDICAL SAS;AVENIDA CARRERA 50 # 4F-84 primer piso;2627499;hyl.medicalsas@gmail.com;Atención Inmediata;X;;
HOSPITAL MILITAR CENTRAL;HOSPITAL MILITAR CENTRAL;TV 3C No 49-02 El Hospital Militar presta servicios en todas las áreas del edificio central, Imagenes diagnóstica y edificio Fe en la causa EXCEPTO en el cuarto piso norte y central donde funciona servicio de terapia renal RTS;3486868 ext: 3001/3002 3158653821;ayudantia@homil.gov.co;Atención Inmediata;X;X;X
HOSPITAL MILITAR CENTRAL;HOSPITAL MILITAR CENTRAL;TV 3C No 49-02 El Hospital Militar presta servicios en todas las áreas del edificio central, Imagenes diagnóstica y edificio Fe en la causa EXCEPTO en el cuarto piso norte y central donde funciona servicio de terapia renal RTS;3486868 ext: 3001/3002 3158653821;ayudantia@homil.gov.co;Atención Inmediata;X;X;X
HOSPITAL MILITAR CENTRAL;HOSPITAL MILITAR CENTRAL;TV 3C No 49-02 El Hospital Militar presta servicios en todas las áreas del edificio central, Imagenes diagnóstica y edificio Fe en la causa EXCEPTO en el cuarto piso norte y central donde funciona servicio de terapia renal RTS;3486868 ext: 3001/3002 3158653821;ayudantia@homil.gov.co;Atención Inmediata;X;X;X
HOSPITAL UNIVERSITARIO CLINICA SAN RAFAEL;HOSPITAL UNIVERSITARIO CLINICA SAN RAFAEL;CRA 8 # 17 45 SUR;7464714 EXT. 2740;direcciongeneral1@stewardcolombia.org;Atención Inmediata;;;X
HOSPITAL UNIVERSITARIO SAN IGNACIO;HOSPITAL UNIVERSITARIO SAN IGNACIO;CRA 7 # 40 62;5946161;calidad@husi.org.co;Atención Inmediata;;;X
INNOVA HEALTH CENTER SAS;INNOVA HEALTH CENTER SAS;KR 14 # 57 - 48 SUR Local 1;2777142 - 3212409060;innovahealthcentersas@gmail.com;Atención Inmediata;X;X;
INNOVA HEALTH CENTER SAS;INNOVA HEALTH CENTER SAS;KR 14 # 57 - 48 SUR Local 1;2777142 - 3212409060;innovahealthcentersas@gmail.com;Atención Inmediata;X;X;
