handshake_id,caso_id,codigo_sede,nombre_sede,canal,estado,motivo_rechazo,enviado_en,expira_en,respondido_en,latencia_s,eta_min_al_despachar,intento
HSK-0053,CAS-0031,110013029601,Hospital Occidente de Kennedy,whatsapp,aceptado,,2026-08-22T21:04:00-05:00,2026-08-22T21:05:30-05:00,2026-08-22T21:05:00-05:00,60,14.5,2
HSK-0054,CAS-0032,110010895201,Clínica Palermo,telegram,aceptado,,2026-08-22T21:04:49-05:00,2026-08-22T21:06:19-05:00,2026-08-22T21:05:27-05:00,38,2.0,1
HSK-0055,CAS-0033,110010918668,Clínica Infantil Santa María Del Lago,telegram,aceptado,,2026-08-22T21:08:00-05:00,2026-08-22T21:09:30-05:00,2026-08-22T21:08:54-05:00,54,3.7,1
HSK-0056,CAS-0034,110013029114,Unidad de Servicios de Salud Centro de Servicios Especializado,telegram,rechazado,Sin camas UCI adultos,2026-08-22T21:14:30-05:00,2026-08-22T21:16:00-05:00,2026-08-22T21:15:47-05:00,77,3.8,1
HSK-0057,CAS-0034,110012156404,Clínica Medicentro Familiar Sede Suba,telegram,rechazado,Hemodinamia en procedimiento,2026-08-22T21:15:59-05:00,2026-08-22T21:17:29-05:00,2026-08-22T21:16:59-05:00,60,4.0,2
HSK-0058,CAS-0034,110012507001,Administradora Clínica La Colina SAS,whatsapp,aceptado,,2026-08-22T21:17:07-05:00,2026-08-22T21:18:37-05:00,2026-08-22T21:18:14-05:00,67,5.4,3
HSK-0059,CAS-0035,110013029625,Hospital Fontibón,telegram,aceptado,,2026-08-22T21:17:40-05:00,2026-08-22T21:19:10-05:00,2026-08-22T21:18:54-05:00,74,0.5,1
HSK-0060,CAS-0036,110013029654,Hospital de Bosa,telegram,aceptado,,2026-08-22T21:20:11-05:00,2026-08-22T21:21:41-05:00,2026-08-22T21:21:20-05:00,69,2.4,1
HSK-0061,CAS-0037,110010911101,Fundación Cardio Infantil Instituto de Cardiología,telegram,rechazado,Urgencias en contingencia por sobreocupación,2026-08-22T21:22:40-05:00,2026-08-22T21:24:10-05:00,2026-08-22T21:23:15-05:00,35,4.2,1
HSK-0062,CAS-0037,110013390301,Loscobos Medical Center SAS - Loscobos,consola,aceptado,,2026-08-22T21:23:23-05:00,2026-08-22T21:24:53-05:00,2026-08-22T21:23:37-05:00,14,6.3,2
HSK-0063,CAS-0038,110012215001,Clínica Medical S.A.S.,telegram,aceptado,,2026-08-22T21:28:27-05:00,2026-08-22T21:29:57-05:00,2026-08-22T21:29:37-05:00,70,2.3,1
HSK-0064,CAS-0039,110010568101,Fundación Hospital de La Misericordia,telegram,rechazado,Sin camas UCI adultos,2026-08-22T21:29:27-05:00,2026-08-22T21:30:57-05:00,2026-08-22T21:30:39-05:00,72,1.2,1
HSK-0065,CAS-0039,110010867901,Sociedad de Cirugía de Bogotá - Hospital de San José,whatsapp,rechazado,Hemodinamia en procedimiento,2026-08-22T21:30:50-05:00,2026-08-22T21:32:20-05:00,2026-08-22T21:31:01-05:00,11,2.1,2
HSK-0066,CAS-0039,110010606501,Instituto Nacional de Cancerología,consola,rechazado,Sin especialista de turno,2026-08-22T21:31:10-05:00,2026-08-22T21:32:40-05:00,2026-08-22T21:31:51-05:00,41,2.4,3
HSK-0067,CAS-0040,110013029103,Unidad de Servicios de Salud Engativá Calle 80,telegram,aceptado,,2026-08-22T21:41:25-05:00,2026-08-22T21:42:55-05:00,2026-08-22T21:41:53-05:00,28,3.2,1
HSK-0068,CAS-0041,110013029625,Hospital Fontibón,telegram,aceptado,,2026-08-22T21:42:37-05:00,2026-08-22T21:44:07-05:00,2026-08-22T21:43:54-05:00,77,1.3,1
HSK-0069,CAS-0042,110013029654,Hospital de Bosa,telegram,rechazado,Urgencias en contingencia por sobreocupación,2026-08-22T21:45:09-05:00,2026-08-22T21:46:39-05:00,2026-08-22T21:45:54-05:00,45,2.4,1
HSK-0070,CAS-0042,110010817103,Clínica Colsubsidio Ciudad Roma,whatsapp,rechazado,Sin cupo en observación pediátrica,2026-08-22T21:46:06-05:00,2026-08-22T21:47:36-05:00,2026-08-22T21:46:47-05:00,41,13.0,2
HSK-0071,CAS-0042,110013029601,Hospital Occidente de Kennedy,telegram,aceptado,,2026-08-22T21:46:57-05:00,2026-08-22T21:48:27-05:00,2026-08-22T21:47:40-05:00,43,18.0,3
HSK-0072,CAS-0043,110013029654,Hospital de Bosa,telegram,aceptado,,2026-08-22T21:54:10-05:00,2026-08-22T21:55:40-05:00,2026-08-22T21:54:39-05:00,29,0.4,1
HSK-0073,CAS-0044,110013029401,Unidad de Servicios de Salud El Tunal,telegram,aceptado,,2026-08-22T21:59:49-05:00,2026-08-22T22:01:19-05:00,2026-08-22T22:00:44-05:00,55,1.5,1
HSK-0074,CAS-0045,110013029654,Hospital de Bosa,telegram,rechazado,Sin especialista de turno,2026-08-22T22:08:40-05:00,2026-08-22T22:10:10-05:00,2026-08-22T22:08:57-05:00,17,2.0,1
HSK-0075,CAS-0045,110010817103,Clínica Colsubsidio Ciudad Roma,consola,rechazado,Sala de reanimación ocupada,2026-08-22T22:09:02-05:00,2026-08-22T22:10:32-05:00,2026-08-22T22:10:09-05:00,67,11.5,2
HSK-0076,CAS-0045,110013029601,Hospital Occidente de Kennedy,consola,aceptado,,2026-08-22T22:10:19-05:00,2026-08-22T22:11:49-05:00,2026-08-22T22:11:05-05:00,46,15.7,3
HSK-0077,CAS-0046,110010918630,Clínica Universitaria Colombia,telegram,aceptado,,2026-08-22T22:14:37-05:00,2026-08-22T22:16:07-05:00,2026-08-22T22:15:49-05:00,72,4.0,1
HSK-0078,CAS-0047,110010918668,Clínica Infantil Santa María Del Lago,telegram,rechazado,Sin cupo en observación pediátrica,2026-08-22T22:16:35-05:00,2026-08-22T22:18:05-05:00,2026-08-22T22:16:59-05:00,24,4.6,1
HSK-0079,CAS-0047,110010644701,Fundación Abood Shaio,consola,rechazado,Tomógrafo fuera de servicio,2026-08-22T22:17:09-05:00,2026-08-22T22:18:39-05:00,2026-08-22T22:18:01-05:00,52,11.8,2
HSK-0080,CAS-0047,110011613301,Fundación Hospital Infantil Universitario de San Jose,whatsapp,rechazado,Sin camas UCI adultos,2026-08-22T22:18:09-05:00,2026-08-22T22:19:39-05:00,2026-08-22T22:19:24-05:00,75,13.6,3
HSK-0081,CAS-0048,110013029654,Hospital de Bosa,telegram,timeout,,2026-08-22T22:21:06-05:00,2026-08-22T22:22:36-05:00,,,2.1,1
HSK-0082,CAS-0048,110010817103,Clínica Colsubsidio Ciudad Roma,telegram,rechazado,Sin especialista de turno,2026-08-22T22:22:45-05:00,2026-08-22T22:24:15-05:00,2026-08-22T22:23:48-05:00,63,13.5,2
HSK-0083,CAS-0048,110013029601,Hospital Occidente de Kennedy,telegram,aceptado,,2026-08-22T22:23:58-05:00,2026-08-22T22:25:28-05:00,2026-08-22T22:25:03-05:00,65,18.2,3
HSK-0084,CAS-0049,110010918668,Clínica Infantil Santa María Del Lago,telegram,aceptado,,2026-08-22T22:24:18-05:00,2026-08-22T22:25:48-05:00,2026-08-22T22:25:23-05:00,65,2.3,1
HSK-0085,CAS-0050,110012156404,Clínica Medicentro Familiar Sede Suba,telegram,rechazado,Urgencias en contingencia por sobreocupación,2026-08-22T22:40:09-05:00,2026-08-22T22:41:39-05:00,2026-08-22T22:41:19-05:00,70,2.1,1
HSK-0086,CAS-0050,110013029114,Unidad de Servicios de Salud Centro de Servicios Especializado,whatsapp,rechazado,Sin cupo en observación pediátrica,2026-08-22T22:41:29-05:00,2026-08-22T22:42:59-05:00,2026-08-22T22:41:55-05:00,26,5.4,2
HSK-0087,CAS-0050,110010910401,Clínica Juan N Corpas Ltda,telegram,aceptado,,2026-08-22T22:42:00-05:00,2026-08-22T22:43:30-05:00,2026-08-22T22:42:18-05:00,18,7.5,3
HSK-0088,CAS-0051,110010918668,Clínica Infantil Santa María Del Lago,telegram,aceptado,,2026-08-22T22:40:44-05:00,2026-08-22T22:42:14-05:00,2026-08-22T22:41:41-05:00,57,5.3,1
HSK-0089,CAS-0052,110013029654,Hospital de Bosa,telegram,aceptado,,2026-08-22T22:44:01-05:00,2026-08-22T22:45:31-05:00,2026-08-22T22:44:13-05:00,12,1.7,1
HSK-0090,CAS-0053,110012215001,Clínica Medical S.A.S.,telegram,timeout,,2026-08-22T22:45:53-05:00,2026-08-22T22:47:23-05:00,,,1.0,1
HSK-0091,CAS-0053,110013029601,Hospital Occidente de Kennedy,whatsapp,aceptado,,2026-08-22T22:47:28-05:00,2026-08-22T22:48:58-05:00,2026-08-22T22:48:07-05:00,39,2.4,2
HSK-0092,CAS-0054,110012156404,Clínica Medicentro Familiar Sede Suba,telegram,aceptado,,2026-08-22T22:48:32-05:00,2026-08-22T22:50:02-05:00,2026-08-22T22:48:45-05:00,13,1.2,1
HSK-0093,CAS-0055,110012507001,Administradora Clínica La Colina SAS,telegram,aceptado,,2026-08-22T22:54:03-05:00,2026-08-22T22:55:33-05:00,2026-08-22T22:54:58-05:00,55,8.6,1
HSK-0094,CAS-0056,110013029401,Unidad de Servicios de Salud El Tunal,telegram,rechazado,Sin cupo en observación pediátrica,2026-08-22T22:58:58-05:00,2026-08-22T23:00:28-05:00,2026-08-22T22:59:34-05:00,36,2.0,1
HSK-0095,CAS-0056,110010917802,Centro Policlinico Del Olaya,consola,rechazado,Tomógrafo fuera de servicio,2026-08-22T22:59:45-05:00,2026-08-22T23:01:15-05:00,2026-08-22T22:59:54-05:00,9,5.6,2
HSK-0096,CAS-0056,110013029402,Unidad de Servicios de Salud Meissen,whatsapp,aceptado,,2026-08-22T23:00:02-05:00,2026-08-22T23:01:32-05:00,2026-08-22T23:01:14-05:00,72,7.0,3
HSK-0097,CAS-0057,110012156404,Clínica Medicentro Familiar Sede Suba,telegram,aceptado,,2026-08-22T23:00:30-05:00,2026-08-22T23:02:00-05:00,2026-08-22T23:01:41-05:00,71,1.8,1
HSK-0098,CAS-0058,110012215001,Clínica Medical S.A.S.,telegram,rechazado,Sin especialista de turno,2026-08-22T23:04:22-05:00,2026-08-22T23:05:52-05:00,2026-08-22T23:05:16-05:00,54,1.3,1
HSK-0099,CAS-0058,110013029601,Hospital Occidente de Kennedy,whatsapp,timeout,,2026-08-22T23:05:23-05:00,2026-08-22T23:06:53-05:00,,,3.1,2
HSK-0100,CAS-0058,110010966601,Clínica Del Occidente S.A.,consola,rechazado,"Quirófano ocupado, tiempo estimado 90 minutos",2026-08-22T23:07:03-05:00,2026-08-22T23:08:33-05:00,2026-08-22T23:07:19-05:00,16,3.8,3
HSK-0101,CAS-0059,110013029402,Unidad de Servicios de Salud Meissen,telegram,aceptado,,2026-08-22T23:04:42-05:00,2026-08-22T23:06:12-05:00,2026-08-22T23:05:23-05:00,41,2.5,1
HSK-0102,CAS-0060,110010966601,Clínica Del Occidente S.A.,telegram,aceptado,,2026-08-22T23:05:32-05:00,2026-08-22T23:07:02-05:00,2026-08-22T23:06:39-05:00,67,1.1,1
HSK-0103,CAS-0061,110010566801,Hospital Universitario Clínica San Rafael,telegram,rechazado,Tomógrafo fuera de servicio,2026-08-22T23:08:50-05:00,2026-08-22T23:10:20-05:00,2026-08-22T23:10:08-05:00,78,2.0,1
HSK-0104,CAS-0061,110010922401,Empresa Social Del Estado Hospital Universitario de La Samaritana,whatsapp,rechazado,Sin camas UCI adultos,2026-08-22T23:10:13-05:00,2026-08-22T23:11:43-05:00,2026-08-22T23:10:48-05:00,35,2.9,2
HSK-0105,CAS-0061,110013028901,Unidad de Servicios de Salud Santa Clara Hospital Universitario,telegram,aceptado,,2026-08-22T23:10:55-05:00,2026-08-22T23:12:25-05:00,2026-08-22T23:11:36-05:00,41,4.7,3
HSK-0106,CAS-0062,110012215001,Clínica Medical S.A.S.,telegram,aceptado,,2026-08-22T23:13:37-05:00,2026-08-22T23:15:07-05:00,2026-08-22T23:14:17-05:00,40,2.9,1
HSK-0107,CAS-0063,110013029103,Unidad de Servicios de Salud Engativá Calle 80,telegram,aceptado,,2026-08-22T23:16:28-05:00,2026-08-22T23:17:58-05:00,2026-08-22T23:16:43-05:00,15,2.1,1
HSK-0108,CAS-0064,110010945601,Hospital Universitario San Ignacio,telegram,timeout,,2026-08-22T23:21:32-05:00,2026-08-22T23:23:02-05:00,,,5.8,1
HSK-0109,CAS-0064,110010867901,Sociedad de Cirugía de Bogotá - Hospital de San José,whatsapp,aceptado,,2026-08-22T23:23:08-05:00,2026-08-22T23:24:38-05:00,2026-08-22T23:24:09-05:00,61,6.8,2
HSK-0110,CAS-0065,110013029654,Hospital de Bosa,telegram,aceptado,,2026-08-22T23:35:05-05:00,2026-08-22T23:36:35-05:00,2026-08-22T23:35:57-05:00,52,1.8,1
HSK-0111,CAS-0066,110010966601,Clínica Del Occidente S.A.,telegram,rechazado,Tomógrafo fuera de servicio,2026-08-22T23:45:25-05:00,2026-08-22T23:46:55-05:00,2026-08-22T23:45:38-05:00,13,2.5,1
HSK-0112,CAS-0066,110012215001,Clínica Medical S.A.S.,whatsapp,rechazado,Sin camas UCI adultos,2026-08-22T23:45:47-05:00,2026-08-22T23:47:17-05:00,2026-08-22T23:46:20-05:00,33,2.6,2
HSK-0113,CAS-0066,110013029601,Hospital Occidente de Kennedy,telegram,rechazado,Hemodinamia en procedimiento,2026-08-22T23:46:31-05:00,2026-08-22T23:48:01-05:00,2026-08-22T23:46:51-05:00,20,4.2,3
HSK-0114,CAS-0066,110013029603,Hospital Pediátrico Tintal,telegram,rechazado,Sin especialista de turno,2026-08-22T23:46:55-05:00,2026-08-22T23:48:25-05:00,2026-08-22T23:47:47-05:00,52,8.6,4
HSK-0115,CAS-0067,110013029654,Hospital de Bosa,telegram,aceptado,,2026-08-22T23:52:02-05:00,2026-08-22T23:53:32-05:00,2026-08-22T23:52:55-05:00,53,0.9,1
HSK-0116,CAS-0068,110013627801,Clínica Azul,telegram,aceptado,,2026-08-22T23:53:25-05:00,2026-08-22T23:54:55-05:00,2026-08-22T23:54:39-05:00,74,1.7,1
HSK-0117,CAS-0069,110010566801,Hospital Universitario Clínica San Rafael,telegram,timeout,,2026-08-22T23:57:58-05:00,2026-08-22T23:59:28-05:00,,,0.9,1
HSK-0118,CAS-0069,110013028902,Unidad de Servicios de Salud San Blas,whatsapp,aceptado,,2026-08-22T23:59:40-05:00,2026-08-23T00:01:10-05:00,2026-08-23T00:00:58-05:00,78,3.6,2
HSK-0119,CAS-0070,110010966601,Clínica Del Occidente S.A.,telegram,aceptado,,2026-08-23T00:06:35-05:00,2026-08-23T00:08:05-05:00,2026-08-23T00:07:07-05:00,32,1.0,1
HSK-0120,CAS-0071,110013029654,Hospital de Bosa,telegram,aceptado,,2026-08-23T00:12:07-05:00,2026-08-23T00:13:37-05:00,2026-08-23T00:12:41-05:00,34,1.6,1
HSK-0121,CAS-0072,110013028929,Unidad de Servicios de Salud Victoria,telegram,rechazado,Hemodinamia en procedimiento,2026-08-23T00:16:05-05:00,2026-08-23T00:17:35-05:00,2026-08-23T00:16:23-05:00,18,4.9,1
HSK-0122,CAS-0072,110010917802,Centro Policlinico Del Olaya,whatsapp,rechazado,Sin especialista de turno,2026-08-23T00:16:33-05:00,2026-08-23T00:18:03-05:00,2026-08-23T00:17:34-05:00,61,6.0,2
HSK-0123,CAS-0072,110010566801,Hospital Universitario Clínica San Rafael,telegram,aceptado,,2026-08-23T00:17:42-05:00,2026-08-23T00:19:12-05:00,2026-08-23T00:17:58-05:00,16,6.3,3
HSK-0124,CAS-0073,110013390301,Loscobos Medical Center SAS - Loscobos,telegram,aceptado,,2026-08-23T00:19:50-05:00,2026-08-23T00:21:20-05:00,2026-08-23T00:20:16-05:00,26,3.3,1
HSK-0125,CAS-0074,110010918668,Clínica Infantil Santa María Del Lago,telegram,rechazado,Urgencias en contingencia por sobreocupación,2026-08-23T00:30:11-05:00,2026-08-23T00:31:41-05:00,2026-08-23T00:31:21-05:00,70,2.2,1
HSK-0126,CAS-0074,110013029103,Unidad de Servicios de Salud Engativá Calle 80,consola,timeout,,2026-08-23T00:31:27-05:00,2026-08-23T00:32:57-05:00,,,4.3,2
