codigo_sede,tipo_cama,total,ocupadas,disponibles,ocupadas_snapshot_reps,medido_en
110010867901,CAMAS-Adultos,152,152,0,148,2026-08-22T19:30:00-05:00
110010867901,CAMAS-UCI Pediátrica,6,6,0,2,2026-08-22T19:30:00-05:00
110010867901,CAMAS-Pediátrica,19,19,0,19,2026-08-22T19:30:00-05:00
110010867901,CAMAS-Cuidado Intermedio Adulto,16,16,0,12,2026-08-22T19:30:00-05:00
110010895201,CAMAS-UCI Adultos,24,14,10,15,2026-08-22T19:30:00-05:00
110010895201,CAMAS-Cuidado Intermedio Adulto,1,1,0,0,2026-08-22T19:30:00-05:00
110010895201,CAMAS-Adultos,173,132,41,172,2026-08-22T19:30:00-05:00
110010910401,CAMAS-Pediátrica,2,1,1,2,2026-08-22T19:30:00-05:00
110010910401,CAMAS-Adultos,120,81,39,72,2026-08-22T19:30:00-05:00
110010910401,CAMAS-UCI Adultos,13,8,5,10,2026-08-22T19:30:00-05:00
110010910401,CAMAS-Cuidado Intermedio Adulto,8,6,2,8,2026-08-22T19:30:00-05:00
110010911101,CAMAS-UCI Pediátrica,28,18,10,20,2026-08-22T19:30:00-05:00
110010911101,CAMAS-Adultos,158,126,32,146,2026-08-22T19:30:00-05:00
110010911101,CAMAS-Cuidado Intermedio Adulto,1,1,0,0,2026-08-22T19:30:00-05:00
110010911101,CAMAS-Cuidado Intermedio Pediátrico,1,1,0,0,2026-08-22T19:30:00-05:00
110010911101,CAMAS-Pediátrica,66,38,28,60,2026-08-22T19:30:00-05:00
110010911101,CAMAS-UCI Adultos,67,43,24,64,2026-08-22T19:30:00-05:00
110010917802,CAMAS-Adultos,162,146,16,160,2026-08-22T19:30:00-05:00
110010917802,CAMAS-UCI Adultos,15,14,1,15,2026-08-22T19:30:00-05:00
110010917802,CAMAS-Pediátrica,10,10,0,9,2026-08-22T19:30:00-05:00
110010917802,CAMAS-Cuidado Intermedio Adulto,20,18,2,20,2026-08-22T19:30:00-05:00
110010917802,CAMAS-Cuidado Intermedio Pediátrico,5,5,0,3,2026-08-22T19:30:00-05:00
110010917802,CAMAS-UCI Pediátrica,3,3,0,3,2026-08-22T19:30:00-05:00
110010918608,CAMAS-UCI Adultos,9,7,2,9,2026-08-22T19:30:00-05:00
110010918608,CAMAS-Adultos,112,70,42,108,2026-08-22T19:30:00-05:00
110010918608,CAMAS-Pediátrica,5,3,2,5,2026-08-22T19:30:00-05:00
110010918608,CAMAS-Cuidado Intermedio Adulto,8,5,3,8,2026-08-22T19:30:00-05:00
110010918630,CAMAS-UCI Adultos,47,46,1,46,2026-08-22T19:30:00-05:00
110010918630,CAMAS-Adultos,241,241,0,237,2026-08-22T19:30:00-05:00
110010918630,CAMAS-Cuidado Intermedio Adulto,2,2,0,2,2026-08-22T19:30:00-05:00
110010918655,CAMAS-Adultos,24,16,8,24,2026-08-22T19:30:00-05:00
110010918655,CAMAS-Pediátrica,15,9,6,15,2026-08-22T19:30:00-05:00
110010918655,CAMAS-UCI Pediátrica,11,7,4,11,2026-08-22T19:30:00-05:00
110010918655,CAMAS-UCI Adultos,3,2,1,2,2026-08-22T19:30:00-05:00
110010918655,CAMAS-Cuidado Intermedio Pediátrico,1,1,0,1,2026-08-22T19:30:00-05:00
110010918655,CAMAS-Cuidado Intermedio Adulto,1,1,0,1,2026-08-22T19:30:00-05:00
110010918668,CAMAS-UCI Adultos,9,8,1,7,2026-08-22T19:30:00-05:00
110010918668,CAMAS-Cuidado Intermedio Adulto,9,9,0,0,2026-08-22T19:30:00-05:00
110010918668,CAMAS-Adultos,59,54,5,41,2026-08-22T19:30:00-05:00
110010918668,CAMAS-Cuidado Intermedio Pediátrico,6,6,0,6,2026-08-22T19:30:00-05:00
110010918668,CAMAS-UCI Pediátrica,13,12,1,8,2026-08-22T19:30:00-05:00
110010918668,CAMAS-Pediátrica,85,85,0,79,2026-08-22T19:30:00-05:00
110010922401,CAMAS-Adultos,143,139,4,120,2026-08-22T19:30:00-05:00
110010922401,CAMAS-Cuidado Intermedio Adulto,9,9,0,9,2026-08-22T19:30:00-05:00
110010922401,CAMAS-UCI Adultos,21,20,1,19,2026-08-22T19:30:00-05:00
110010936101,CAMAS-Adultos,87,84,3,84,2026-08-22T19:30:00-05:00
110010936101,CAMAS-UCI Adultos,10,10,0,4,2026-08-22T19:30:00-05:00
110010936101,CAMAS-Pediátrica,8,8,0,8,2026-08-22T19:30:00-05:00
110010936101,CAMAS-Cuidado Intermedio Adulto,8,8,0,7,2026-08-22T19:30:00-05:00
110010945601,CAMAS-Pediátrica,31,19,12,31,2026-08-22T19:30:00-05:00
110010945601,CAMAS-UCI Pediátrica,6,4,2,6,2026-08-22T19:30:00-05:00
110010945601,CAMAS-UCI Adultos,26,18,8,25,2026-08-22T19:30:00-05:00
110010945601,CAMAS-Adultos,229,183,46,210,2026-08-22T19:30:00-05:00
110010945601,CAMAS-Cuidado Intermedio Pediátrico,2,2,0,2,2026-08-22T19:30:00-05:00
110010945601,CAMAS-Cuidado Intermedio Adulto,6,5,1,6,2026-08-22T19:30:00-05:00
110010952310,CAMAS-Adultos,24,18,6,47,2026-08-22T19:30:00-05:00
110010952315,CAMAS-Adultos,24,13,11,27,2026-08-22T19:30:00-05:00
110010952317,CAMAS-Adultos,24,22,2,27,2026-08-22T19:30:00-05:00
110010959901,CAMAS-UCI Pediátrica,6,6,0,6,2026-08-22T19:30:00-05:00
110010959901,CAMAS-Cuidado Intermedio Adulto,1,1,0,0,2026-08-22T19:30:00-05:00
110010959901,CAMAS-Cuidado Intermedio Pediátrico,6,6,0,5,2026-08-22T19:30:00-05:00
110010959901,CAMAS-Adultos,174,163,11,131,2026-08-22T19:30:00-05:00
110010959901,CAMAS-Pediátrica,32,31,1,32,2026-08-22T19:30:00-05:00
110010959901,CAMAS-UCI Adultos,29,28,1,27,2026-08-22T19:30:00-05:00
110010966601,CAMAS-Intermedia Adultos,10,7,3,10,2026-08-22T19:30:00-05:00
110010966601,CAMAS-Adultos,111,77,34,111,2026-08-22T19:30:00-05:00
110010966601,CAMAS-UCI Adultos,43,25,18,43,2026-08-22T19:30:00-05:00
110011613301,CAMAS-UCI Pediátrica,21,20,1,6,2026-08-22T19:30:00-05:00
110011613301,CAMAS-Adultos,93,91,2,91,2026-08-22T19:30:00-05:00
110011613301,CAMAS-Cuidado Intermedio Pediátrico,1,1,0,1,2026-08-22T19:30:00-05:00
110011613301,CAMAS-Cuidado Intermedio Adulto,1,1,0,0,2026-08-22T19:30:00-05:00
110011613301,CAMAS-Pediátrica,65,59,6,63,2026-08-22T19:30:00-05:00
110011613301,CAMAS-UCI Adultos,20,20,0,16,2026-08-22T19:30:00-05:00
110011693801,CAMAS-UCI Adultos,37,25,12,18,2026-08-22T19:30:00-05:00
110011693801,CAMAS-Adultos,330,193,137,246,2026-08-22T19:30:00-05:00
110011693801,CAMAS-Pediátrica,58,40,18,38,2026-08-22T19:30:00-05:00
110011693801,CAMAS-Cuidado Intermedio Adulto,2,1,1,0,2026-08-22T19:30:00-05:00
110011693801,CAMAS-Cuidado Intermedio Pediátrico,3,2,1,2,2026-08-22T19:30:00-05:00
110011693801,CAMAS-UCI Pediátrica,6,5,1,1,2026-08-22T19:30:00-05:00
110011864201,CAMAS-UCI Adultos,70,69,1,66,2026-08-22T19:30:00-05:00
110011864201,CAMAS-Cuidado Intermedio Adulto,34,32,2,31,2026-08-22T19:30:00-05:00
110011864201,CAMAS-Adultos,505,488,17,490,2026-08-22T19:30:00-05:00
110011864202,CAMAS-Cuidado Intermedio Adulto,2,1,1,0,2026-08-22T19:30:00-05:00
110011864202,CAMAS-Adultos,58,42,16,48,2026-08-22T19:30:00-05:00
110011864202,CAMAS-UCI Adultos,6,4,2,4,2026-08-22T19:30:00-05:00
110012156401,CAMAS-Cuidado Intermedio Adulto,3,2,1,1,2026-08-22T19:30:00-05:00
110012156401,CAMAS-Adultos,41,26,15,15,2026-08-22T19:30:00-05:00
110012156401,CAMAS-UCI Adultos,23,17,6,5,2026-08-22T19:30:00-05:00
110012156404,CAMAS-Adultos,90,71,19,99,2026-08-22T19:30:00-05:00
110012156404,CAMAS-UCI Adultos,8,6,2,9,2026-08-22T19:30:00-05:00
110012215001,CAMAS-Adultos,130,104,26,125,2026-08-22T19:30:00-05:00
110012215001,CAMAS-UCI Adultos,16,11,5,16,2026-08-22T19:30:00-05:00
110012215001,CAMAS-Cuidado Intermedio Adulto,13,8,5,10,2026-08-22T19:30:00-05:00
110012507001,CAMAS-Adultos,76,75,1,58,2026-08-22T19:30:00-05:00
110012507001,CAMAS-Cuidado Intermedio Pediátrico,1,1,0,1,2026-08-22T19:30:00-05:00
110012507001,CAMAS-UCI Pediátrica,7,7,0,7,2026-08-22T19:30:00-05:00
110012507001,CAMAS-UCI Adultos,7,7,0,6,2026-08-22T19:30:00-05:00
110012507001,CAMAS-Cuidado Intermedio Adulto,2,2,0,2,2026-08-22T19:30:00-05:00
110012507001,CAMAS-Pediátrica,47,46,1,44,2026-08-22T19:30:00-05:00
110012529701,CAMAS-UCI Adultos,36,34,2,32,2026-08-22T19:30:00-05:00
110012529701,CAMAS-Cuidado Intermedio Adulto,11,11,0,8,2026-08-22T19:30:00-05:00
110012529701,CAMAS-Adultos,196,182,14,180,2026-08-22T19:30:00-05:00
110013028901,CAMAS-Pediátrica,19,17,2,19,2026-08-22T19:30:00-05:00
110013028901,CAMAS-Cuidado Intermedio Pediátrico,8,8,0,8,2026-08-22T19:30:00-05:00
110013028901,CAMAS-UCI Pediátrica,8,7,1,8,2026-08-22T19:30:00-05:00
110013028901,CAMAS-Adultos,187,184,3,127,2026-08-22T19:30:00-05:00
110013028901,CAMAS-UCI Adultos,43,42,1,32,2026-08-22T19:30:00-05:00
110013028901,CAMAS-Cuidado Intermedio Adulto,11,11,0,11,2026-08-22T19:30:00-05:00
110013028902,CAMAS-Cuidado Intermedio Adulto,6,6,0,6,2026-08-22T19:30:00-05:00
110013028902,CAMAS-Adultos,40,40,0,40,2026-08-22T19:30:00-05:00
110013028902,CAMAS-UCI Adultos,20,20,0,0,2026-08-22T19:30:00-05:00
110013028902,CAMAS-Pediátrica,90,90,0,52,2026-08-22T19:30:00-05:00
110013028915,CAMAS-Adultos,18,16,2,12,2026-08-22T19:30:00-05:00
110013028916,CAMAS-Adultos,12,9,3,12,2026-08-22T19:30:00-05:00
110013028917,CAMAS-Adultos,34,23,11,21,2026-08-22T19:30:00-05:00
110013028918,CAMAS-Adultos,24,13,11,19,2026-08-22T19:30:00-05:00
110013028919,CAMAS-Adultos,12,11,1,7,2026-08-22T19:30:00-05:00
110013028920,CAMAS-Adultos,24,14,10,19,2026-08-22T19:30:00-05:00
110013028929,CAMAS-Adultos,104,70,34,61,2026-08-22T19:30:00-05:00
110013028929,CAMAS-Cuidado Intermedio Adulto,5,4,1,3,2026-08-22T19:30:00-05:00
110013028929,CAMAS-UCI Adultos,13,8,5,4,2026-08-22T19:30:00-05:00
110013029101,CAMAS-UCI Adultos,32,31,1,28,2026-08-22T19:30:00-05:00
110013029101,CAMAS-Cuidado Intermedio Adulto,26,24,2,26,2026-08-22T19:30:00-05:00
110013029101,CAMAS-Adultos,150,140,10,137,2026-08-22T19:30:00-05:00
110013029101,CAMAS-Cuidado Intermedio Pediátrico,1,1,0,1,2026-08-22T19:30:00-05:00
110013029101,CAMAS-Pediátrica,59,59,0,32,2026-08-22T19:30:00-05:00
110013029101,CAMAS-UCI Pediátrica,14,14,0,12,2026-08-22T19:30:00-05:00
110013029103,CAMAS-Cuidado Intermedio Adulto,3,3,0,3,2026-08-22T19:30:00-05:00
110013029103,CAMAS-Adultos,101,95,6,94,2026-08-22T19:30:00-05:00
110013029103,CAMAS-UCI Adultos,12,12,0,3,2026-08-22T19:30:00-05:00
110013029104,CAMAS-Adultos,2,1,1,2,2026-08-22T19:30:00-05:00
110013029114,CAMAS-Adultos,41,24,17,29,2026-08-22T19:30:00-05:00
110013029114,CAMAS-Pediátrica,70,52,18,18,2026-08-22T19:30:00-05:00
110013029114,CAMAS-UCI Adultos,6,5,1,3,2026-08-22T19:30:00-05:00
110013029114,CAMAS-Cuidado Intermedio Adulto,3,2,1,3,2026-08-22T19:30:00-05:00
110013029116,CAMAS-Adultos,24,16,8,27,2026-08-22T19:30:00-05:00
110013029123,CAMAS-Adultos,28,18,10,25,2026-08-22T19:30:00-05:00
110013029401,CAMAS-Adultos,57,56,1,57,2026-08-22T19:30:00-05:00
110013029401,CAMAS-UCI Adultos,35,34,1,25,2026-08-22T19:30:00-05:00
110013029401,CAMAS-Cuidado Intermedio Adulto,10,10,0,10,2026-08-22T19:30:00-05:00
110013029401,CAMAS-Pediátrica,45,44,1,0,2026-08-22T19:30:00-05:00
110013029401,CAMAS-UCI Pediátrica,6,6,0,0,2026-08-22T19:30:00-05:00
110013029402,CAMAS-Cuidado Intermedio Pediátrico,4,3,1,2,2026-08-22T19:30:00-05:00
110013029402,CAMAS-UCI Adultos,20,14,6,19,2026-08-22T19:30:00-05:00
110013029402,CAMAS-Pediátrica,90,58,32,90,2026-08-22T19:30:00-05:00
110013029402,CAMAS-Cuidado Intermedio Adulto,8,5,3,7,2026-08-22T19:30:00-05:00
110013029402,CAMAS-UCI Pediátrica,8,6,2,8,2026-08-22T19:30:00-05:00
110013029402,CAMAS-Adultos,83,51,32,63,2026-08-22T19:30:00-05:00
110013029407,CAMAS-Adultos,37,29,8,36,2026-08-22T19:30:00-05:00
110013029413,CAMAS-Adultos,24,18,6,38,2026-08-22T19:30:00-05:00
110013029428,CAMAS-Adultos,42,29,13,35,2026-08-22T19:30:00-05:00
110013029430,CAMAS-Adultos,14,8,6,14,2026-08-22T19:30:00-05:00
110013029431,CAMAS-Adultos,10,7,3,6,2026-08-22T19:30:00-05:00
110013029446,CAMAS-Adultos,24,15,9,38,2026-08-22T19:30:00-05:00
110013029449,CAMAS-Adultos,2,2,0,0,2026-08-22T19:30:00-05:00
110013029450,CAMAS-Adultos,24,23,1,38,2026-08-22T19:30:00-05:00
110013029601,CAMAS-Cuidado Intermedio Pediátrico,2,2,0,1,2026-08-22T19:30:00-05:00
110013029601,CAMAS-Cuidado Intermedio Adulto,5,5,0,5,2026-08-22T19:30:00-05:00
110013029601,CAMAS-Pediátrica,2,2,0,1,2026-08-22T19:30:00-05:00
110013029601,CAMAS-Adultos,166,165,1,141,2026-08-22T19:30:00-05:00
110013029601,CAMAS-UCI Pediátrica,13,13,0,2,2026-08-22T19:30:00-05:00
110013029601,CAMAS-UCI Adultos,31,30,1,30,2026-08-22T19:30:00-05:00
110013029603,CAMAS-Pediátrica,78,51,27,53,2026-08-22T19:30:00-05:00
110013029604,CAMAS-Adultos,24,15,9,47,2026-08-22T19:30:00-05:00
110013029622,CAMAS-Adultos,6,5,1,0,2026-08-22T19:30:00-05:00
110013029625,CAMAS-Adultos,48,32,16,30,2026-08-22T19:30:00-05:00
110013029625,CAMAS-UCI Adultos,6,4,2,2,2026-08-22T19:30:00-05:00
110013029625,CAMAS-Cuidado Intermedio Adulto,2,1,1,1,2026-08-22T19:30:00-05:00
110013029654,CAMAS-Adultos,180,167,13,355,2026-08-22T19:30:00-05:00
110013029654,CAMAS-UCI Adultos,34,33,1,67,2026-08-22T19:30:00-05:00
110013029654,CAMAS-UCI Pediátrica,10,9,1,20,2026-08-22T19:30:00-05:00
110013097001,CAMAS-Adultos,19,11,8,0,2026-08-22T19:30:00-05:00
110013390301,CAMAS-Pediátrica,19,11,8,17,2026-08-22T19:30:00-05:00
110013390301,CAMAS-Cuidado Intermedio Adulto,2,2,0,0,2026-08-22T19:30:00-05:00
110013390301,CAMAS-Adultos,162,101,61,133,2026-08-22T19:30:00-05:00
110013390301,CAMAS-UCI Adultos,34,21,13,16,2026-08-22T19:30:00-05:00
110013409101,CAMAS-Adultos,5,3,2,0,2026-08-22T19:30:00-05:00
110013455201,CAMAS-Adultos,12,8,4,12,2026-08-22T19:30:00-05:00
110013502501,CAMAS-UCI Adultos,17,17,0,12,2026-08-22T19:30:00-05:00
110013502501,CAMAS-Adultos,141,134,7,138,2026-08-22T19:30:00-05:00
110013502501,CAMAS-Cuidado Intermedio Adulto,18,18,0,18,2026-08-22T19:30:00-05:00
110013627801,CAMAS-UCI Adultos,16,10,6,10,2026-08-22T19:30:00-05:00
110013627801,CAMAS-Cuidado Intermedio Adulto,4,3,1,2,2026-08-22T19:30:00-05:00
110013627801,CAMAS-Adultos,85,63,22,80,2026-08-22T19:30:00-05:00
110013630032,CAMAS-Adultos,24,16,8,27,2026-08-22T19:30:00-05:00
110013630033,CAMAS-Adultos,24,16,8,47,2026-08-22T19:30:00-05:00
